Modelos,Escala dos Dados,Variáveis Utilizadas,Acurácia Média,Recall Médio,Precisão Média
CatBoostClassifier,QuantileTransformer,30,0.9655789473684211,0.9523470839260313,0.9794871794871796
CatBoostClassifier,MaxAbsScaler,30,0.9629824561403509,0.9470839260312944,0.9788051209103841
CatBoostClassifier,QuantileTransformer,25,0.9629473684210528,0.9523470839260313,0.9743589743589745
CatBoostClassifier,QuantileTransformer,26,0.9629473684210528,0.9576102418207683,0.9686446886446888
CatBoostClassifier,QuantileTransformer,29,0.9629473684210528,0.9576102418207683,0.9686684660368872
CatBoostClassifier,QuantileTransformer,24,0.9629122807017543,0.9470839260312944,0.9794871794871796
CatBoostClassifier,MaxAbsScaler,26,0.9603157894736842,0.9470839260312944,0.974081774081774
CatBoostClassifier,QuantileTransformer,21,0.9603157894736842,0.9576102418207683,0.9637728937728938
CatBoostClassifier,QuantileTransformer,22,0.9603157894736842,0.9523470839260313,0.9686446886446888
CatBoostClassifier,QuantileTransformer,23,0.9603157894736842,0.9418207681365576,0.9784962406015036
CatBoostClassifier,MaxAbsScaler,29,0.9603157894736842,0.9470839260312944,0.974081774081774
CatBoostClassifier,MaxAbsScaler,27,0.9603157894736842,0.9470839260312944,0.974081774081774
CatBoostClassifier,StandardScaler,22,0.957719298245614,0.9365576102418208,0.9786555786555786
CatBoostClassifier,StandardScaler,21,0.9576842105263157,0.9418207681365576,0.9738191632928475
CatBoostClassifier,MaxAbsScaler,28,0.9576842105263157,0.9470839260312944,0.9689608636977057
CatBoostClassifier,MaxAbsScaler,24,0.9576842105263157,0.9470839260312944,0.9689608636977057
CatBoostClassifier,QuantileTransformer,20,0.9576491228070175,0.9523470839260313,0.963931623931624
CatBoostClassifier,QuantileTransformer,27,0.9576491228070175,0.9523470839260313,0.9633815307499518
CatBoostClassifier,MinMaxScaler,21,0.9551228070175439,0.9365576102418208,0.9738045738045737
CatBoostClassifier,RobustScaler,20,0.9550526315789474,0.931294452347084,0.9788051209103841
CatBoostClassifier,MaxAbsScaler,25,0.9550526315789473,0.9418207681365576,0.9689608636977057
CatBoostClassifier,MinMaxScaler,22,0.9550526315789473,0.9418207681365576,0.9688259109311741
CatBoostClassifier,QuantileTransformer,28,0.9550175438596492,0.9470839260312947,0.9633815307499518
CatBoostClassifier,RobustScaler,21,0.9550175438596492,0.9365576102418208,0.9735419630156471
CatBoostClassifier,RobustScaler,28,0.9549824561403509,0.9470839260312944,0.9634053081421502
CatBoostClassifier,MinMaxScaler,20,0.9524912280701756,0.931294452347084,0.9733997155049787
CatBoostClassifier,MaxAbsScaler,22,0.9524561403508771,0.9365576102418208,0.9688259109311741
CatBoostClassifier,MaxAbsScaler,20,0.9524561403508771,0.9365576102418208,0.968421052631579
CatBoostClassifier,MaxAbsScaler,23,0.9524561403508771,0.9365576102418208,0.9688259109311741
CatBoostClassifier,RobustScaler,25,0.9523859649122807,0.9470839260312944,0.9582771030139451
CatBoostClassifier,RobustScaler,30,0.9523508771929825,0.9418207681365576,0.9632465779834201
CatBoostClassifier,RobustScaler,22,0.9523157894736842,0.9470839260312944,0.9582533256217467
CatBoostClassifier,MaxAbsScaler,21,0.9498245614035088,0.931294452347084,0.968421052631579
CatBoostClassifier,MinMaxScaler,23,0.9497894736842104,0.9365576102418208,0.963697705802969
CatBoostClassifier,StandardScaler,23,0.9497894736842104,0.9365576102418208,0.9628417196838249
CatBoostClassifier,MinMaxScaler,30,0.9497543859649124,0.9365576102418208,0.9635627530364372
CatBoostClassifier,RobustScaler,23,0.9497543859649124,0.9418207681365576,0.9579699248120301
CatBoostClassifier,RobustScaler,24,0.9497543859649122,0.9470839260312944,0.9534188034188034
CatBoostClassifier,MinMaxScaler,27,0.9497543859649122,0.9418207681365576,0.9582771030139451
CatBoostClassifier,MinMaxScaler,25,0.9497543859649122,0.9418207681365576,0.9589743589743589
CatBoostClassifier,MinMaxScaler,24,0.9497543859649122,0.9418207681365576,0.9589743589743589
CatBoostClassifier,StandardScaler,30,0.9497192982456142,0.9418207681365576,0.9583674883674883
CatBoostClassifier,RobustScaler,29,0.949719298245614,0.9365576102418208,0.9632465779834201
CatBoostClassifier,RobustScaler,27,0.9496842105263159,0.9418207681365576,0.9582533256217467
CatBoostClassifier,StandardScaler,20,0.9471228070175439,0.926031294452347,0.968421052631579
CatBoostClassifier,StandardScaler,24,0.9471228070175439,0.9365576102418208,0.958118372855215
CatBoostClassifier,MinMaxScaler,26,0.9471228070175439,0.9418207681365576,0.9534188034188034
CatBoostClassifier,StandardScaler,25,0.9471228070175439,0.9365576102418208,0.958118372855215
CatBoostClassifier,MinMaxScaler,28,0.9470877192982456,0.9365576102418208,0.9588394062078273
CatBoostClassifier,StandardScaler,29,0.9470526315789474,0.9365576102418208,0.9582698082698082
CatBoostClassifier,RobustScaler,26,0.9470526315789474,0.9365576102418208,0.9582698082698082
CatBoostClassifier,StandardScaler,27,0.9444561403508771,0.9365576102418208,0.9534053081421503
CatBoostClassifier,StandardScaler,28,0.9417894736842104,0.9365576102418208,0.9482905982905983
CatBoostClassifier,StandardScaler,26,0.9391929824561404,0.931294452347084,0.9483882783882784
CatBoostClassifier,MinMaxScaler,29,0.9391929824561404,0.926031294452347,0.9527202621939465
CatBoostClassifier,Normalizer,27,0.9154385964912282,0.8941678520625889,0.9340589458236517
CatBoostClassifier,Normalizer,25,0.9154385964912282,0.8941678520625889,0.9340589458236517
CatBoostClassifier,Normalizer,26,0.9154385964912282,0.8941678520625889,0.9340589458236517
CatBoostClassifier,Normalizer,29,0.9154385964912282,0.8941678520625889,0.9340589458236517
CatBoostClassifier,Normalizer,28,0.9154385964912282,0.8941678520625889,0.9340589458236517
CatBoostClassifier,Normalizer,30,0.9154385964912282,0.8941678520625889,0.9340589458236517
CatBoostClassifier,Normalizer,24,0.9128070175438598,0.8889046941678522,0.9336540875240565
CatBoostClassifier,Normalizer,23,0.9128070175438598,0.8889046941678522,0.9336540875240565
CatBoostClassifier,Normalizer,22,0.9128070175438598,0.8889046941678522,0.9336540875240565
CatBoostClassifier,Normalizer,21,0.9128070175438598,0.8889046941678522,0.9336540875240565
CatBoostClassifier,Normalizer,20,0.9128070175438598,0.8889046941678522,0.9336540875240565
CatBoostClassifier,Original,24,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,28,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,27,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,26,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,25,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,21,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,23,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,22,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,20,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,29,0.9048070175438598,0.8785206258890469,0.9295461676847125
CatBoostClassifier,Original,30,0.9048070175438598,0.8785206258890469,0.9295461676847125
